2017-12-16 18:08:54.933130
=========================================
11|96.47|90.84|0.9184495
VNO|2016-01-25|90.66|88.46|0
VNO|2016-02-01|87.51|84.26|0
VNO|2016-02-08|83.77|81.13|0.782328
VNO|2016-02-22|85.66|86.15|0
VNO|2016-02-29|86.29|92.51|0
VNO|2016-03-07|91.7|91.99|0
VNO|2016-03-14|91.58|93.44|0
VNO|2016-03-21|93.29|92.22|0
VNO|2016-03-28|91.34|94.71|0
VNO|2016-04-04|94.71|94.69|0
VNO|2016-04-11|95.24|95.96|0
VNO|2016-04-18|95.74|95.42|0
VNO|2016-04-25|95.31|95.73|0.8495785
VNO|2016-05-02|96.1|95.85|0.909845
VNO|2016-05-09|95.96|95.2|0
VNO|2016-05-16|95.65|92.93|0
VNO|2016-05-23|93.15|95.21|0
VNO|2016-06-06|96.05|96.01|0
VNO|2016-06-13|96.09|97.94|0
VNO|2016-06-20|98.73|96.99|0
VNO|2016-06-27|96.24|99.99|0
VNO|2016-07-11|100.87|100.3|0
VNO|2016-07-18|100.43|103.83|0
VNO|2016-07-25|104.08|107.4|0
VNO|2016-08-01|107.12|104.85|0
VNO|2016-08-08|105.01|105.14|0
VNO|2016-08-15|105.53|101.64|0
VNO|2016-08-22|101.91|101.01|0
VNO|2016-08-29|101.32|103.74|0
VNO|2016-09-12|98.97|98.64|0
VNO|2016-09-19|98.9|103.77|0
VNO|2016-09-26|103.37|101.21|0
VNO|2016-10-03|100.8|96.31|0
VNO|2016-10-10|96.5|95.25|0
VNO|2016-10-17|95.45|95.04|0
VNO|2016-10-24|95.67|91.21|0.70029
VNO|2016-10-31|91.8|88.22|0
VNO|2016-11-07|89.4|95.12|0.8279705
VNO|2016-11-14|94.99|95.56|0
VNO|2016-11-21|95.73|97.93|0
VNO|2016-11-28|96.64|99.26|0
VNO|2016-12-05|99.61|103.22|0
VNO|2016-12-12|102.99|103.35|0
VNO|2016-12-19|103.89|102.87|0
VNO|2017-01-09|107.11|104.29|0
VNO|2017-01-23|105.73|106.88|0
VNO|2017-01-30|106.88|104.85|0
VNO|2017-02-06|104.8|106.45|0
VNO|2017-02-13|106.85|109.79|0
VNO|2017-02-27|110.36|108.77|0
VNO|2017-03-06|108.36|103.2|0
VNO|2017-03-13|103.38|105.13|0.799416
VNO|2017-03-20|105.12|100.92|0
VNO|2017-03-27|100.76|100.31|0.721787
VNO|2017-04-03|100.35|101.62|0
VNO|2017-04-10|101.64|103.06|0
VNO|2017-04-17|101.66|101.6|0
VNO|2017-04-24|102.22|96.24|0
VNO|2017-05-01|96.63|95.7|0.74973
VNO|2017-05-08|95.91|93.29|0.737999
VNO|2017-05-15|93.29|94.06|0.746483
VNO|2017-05-22|94.15|92.52|0
VNO|2017-06-05|92.8|93.65|0
VNO|2017-06-12|93.53|93.88|0
VNO|2017-06-19|93.86|94.18|0
VNO|2017-06-26|94.5|93.9|0
VNO|2017-07-03|94.5|93.51|0
VNO|2017-07-10|94.97|95.9|0
VNO|2017-07-17|96.02|78.69|0
VNO|2017-07-24|78.65|78.96|0.752719
VNO|2017-07-31|79.01|79.47|0
VNO|2017-08-07|79.43|75.73|0
VNO|2017-08-14|76.18|73.91|0
VNO|2017-08-21|73.96|74.7|0.775421
VNO|2017-08-28|75.51|74.99|0
