Conservative Mix  Ticker Symbol, AOK
Moderate Mix  Ticker Symbol,     AOM
Aggressive Mix  Ticker Symbol,   AOR
Blue Chips  Ticker Symbol, MGC  
Roll with Buffett  Ticker Symbol, BRK.B
Delicious Dividends  Ticker Symbol, SCHD  
Copy the Experts  Ticker Symbol, GURU
Small but Mighty  Ticker Symbol, VB
Clean & Green  Ticker Symbol, ICLN
Combat Carbon  Ticker Symbol, CRBN
Equality Works  Ticker Symbol, EQLT
Do the Right Thing  Ticker Symbol, SUSA
Water the World  Ticker Symbol, 
Internet Titans  Ticker Symbol, FDN
On Cloud 9  Ticker Symbol, SKYY
Wireless Wonders  Ticker Symbol, VOX
Robots Rising  Ticker Symbol, ROBO
Social Media Mania  Ticker Symbol, SOCL
Data Defenders  Ticker Symbol, CIBR
American Innovators  Ticker Symbol, VGT
Live Long & Prosper  Ticker Symbol, XLV
Modern Meds  Ticker Symbol, XBI
Money Machines  Ticker Symbol, VFH
Enjoy Yourself  Ticker Symbol, PEJ
Public Works   Ticker Symbol, MUB
Rest Estate Tycoon  Ticker Symbol, VNQ
Home Sweet Home  Ticker Symbol, XHB
Raw Earth  Ticker Symbol, GNR
All that Glitters  Ticker Symbol, GLTR
Up & Coming  Ticker Symbol, VWO
Pacific Powerhouses  Ticker Symbol, VPL
Essential Europe  Ticker Symbol, VGK
Global Citizen  Ticker Symbol, VT
Colossal China  Ticker Symbol, GXC
Young Money  Ticker Symbol, MILN
Retail Therapy  Ticker Symbol, XRT
Defending America  Ticker Symbol, ITA
High Voltage  Ticker Symbol, VPU
Slow & Steady  Ticker Symbol, SPLV
Park My Cash  Ticker Symbol, MINT
Uncle Sam  Ticker Symbol, VGIT
